A̱o,Unidades Vendidas,ITCRB Estados Unidos Promedio,Importacion de autos,Crisis Semiconductores,Devaluacion Interanual,Inflacion,Restriccion de importaciones,PIB (Millones de US$ a precios actuales),Reservas Internacionales,PIB/reservas,Brecha Cambiaria,Diferencia Trade Balance Industria
2002,82345,202.4567968,239,0,0.9418085053,0.4090000000,0,97724.00425,11064.096,8.832534014,-0.006319581798688,881.00
2003,155666,171.7426252,728,0,0.2233945789,0.0370000000,0,127586.9735,11890.70683,10.72997386,-0.004374997490532,-91.00
2004,311961,168.4221155,1642,0,0.0956236402,0.0610000000,0,164657.9305,16884.07143,9.752264503,-0.002547991731140,"-1,029.00"
2005,402690,158.2167608,2268,0,0.0675363738,0.1230000000,0,198737.095,23419.36614,8.486015113,-0.003184659594531,"-1,364.00"
2006,460478,154.7778464,2780,0,0.0253093549,0.0980000000,0,232557.2608,25063.30522,9.278794587,0.000130025846598,"-1,321.00"
2007,564926,139.5142313,3494,0,0.0407161326,0.1480000000,0,287530.5084,40383.17814,7.120056461,0.003505486654108,"-1,650.00"
2008,611770,118.6934045,4900,0,0.1463422730,0.2570000000,0,361558.0371,47778.8755,7.567319936,0.009051013239227,"-2,875.00"
2009,487142,121.1056726,3010,0,0.1173435371,0.1140000000,0,332976.4846,46355.04472,7.183176861,0.008000841768521,-402.00
2010,698404,103.1626916,5433,0,0.0504717727,0.2390000000,0,423627.4221,49717.19106,8.52074329,0.011334429194513,"-2,152.00"
2011,883350,90.45773811,7010,0,0.0835956188,0.1830000000,0,530163.2816,50410.13415,10.51699803,0.045716916706659,"-2,906.00"
2012,830058,82.17293109,6537,0,0.1422830329,0.2180000000,1,545982.3757,46140.28926,11.83309391,0.252965557834489,"-2,437.00"
2013,963917,80.06689193,8475,0,0.3240432274,0.2660000000,1,552025.1403,37514.35685,14.71503677,0.597416626628230,"-4,273.00"
2014,613848,86.46668645,4518,0,0.3075806205,0.3800000000,1,526319.6737,28535.73967,18.44422748,0.528735616441197,-444.00
2015,613267,77.57421432,4299,0,0.6090463776,0.2690000000,1,594749.2854,31179.38934,19.07507805,0.515296818476888,"-2,346.00"
2016,721411,89.89837384,5829,0,0.2272518593,0.3620000000,0,557531.3762,32226.43725,17.30043479,0.014274687606499,"-4,629.00"
2017,883802,81.58418167,8368,0,0.2409220914,0.2480000000,0,643628.6653,49276.80894,13.0614924,0.018742945565514,"-7,416.00"
2018,681816,104.6026585,6614,0,1.2207397995,0.4760000000,0,524819.7429,56296.95041,9.322347642,0.001566516226735,"-3,579.00"
2019,368806,120.4678317,2838,0,0.6201782098,0.5380000000,0,451932.3561,59897.19342,7.545134093,0.024430283583885,819.00
2020,312789,125.7755632,2153,1,0.4067494550,0.3610000000,1,389288.0563,42673.70417,9.122434152,0.636586046704335,-766.00
2021,381777,120.5260164,2292,1,0.2130578147,0.5090000000,1,418484.6605,41675.82377,10.04142504,0.690888764312330,34.00